iter	Passed	Remaining
444	1159	1446
445	1160	1442
446	1162	1438
447	1163	1434
448	1165	1430
449	1166	1426
450	1168	1422
451	1170	1418
452	1171	1415
453	1173	1411
454	1175	1407
455	1176	1403
456	1178	1400
457	1180	1396
458	1182	1393
459	1183	1389
460	1185	1386
461	1187	1382
462	1188	1378
463	1190	1375
464	1192	1371
465	1193	1368
466	1195	1364
467	1197	1360
468	1198	1357
469	1200	1353
470	1201	1349
471	1203	1345
472	1204	1342
473	1205	1338
474	1207	1334
475	1208	1330
476	1210	1326
477	1211	1323
478	1213	1320
479	1215	1316
480	1216	1312
481	1218	1309
482	1219	1305
483	1221	1302
484	1222	1298
485	1224	1295
486	1226	1291
487	1227	1288
488	1229	1285
489	1231	1281
490	1233	1278
491	1234	1274
492	1236	1271
493	1237	1267
494	1239	1264
495	1241	1261
496	1242	1257
497	1244	1254
498	1246	1250
499	1247	1247
500	1249	1244
501	1250	1240
502	1252	1237
503	1253	1233
504	1255	1230
505	1256	1227
506	1258	1223
507	1260	1220
508	1261	1217
509	1263	1213
510	1264	1210
511	1266	1207
512	1268	1203
513	1270	1200
514	1271	1197
515	1273	1194
516	1274	1191
517	1276	1187
518	1277	1184
519	1279	1181
520	1280	1177
521	1282	1174
522	1284	1171
523	1285	1168
524	1287	1164
525	1289	1161
526	1290	1158
527	1293	1156
528	1296	1154
529	1300	1152
530	1302	1150
531	1304	1147
532	1306	1144
533	1309	1142
534	1311	1140
535	1313	1137
536	1316	1135
537	1318	1132
538	1320	1129
539	1322	1126
540	1324	1123
541	1326	1120
542	1329	1118
543	1331	1115
544	1333	1113
545	1337	1111
546	1339	1109
547	1340	1105
548	1342	1102
549	1343	1099
550	1345	1096
551	1347	1093
552	1349	1090
553	1351	1087
554	1352	1084
555	1354	1081
556	1356	1078
557	1358	1076
558	1360	1073
559	1362	1070
560	1364	1067
561	1365	1064
562	1367	1061
563	1369	1058
564	1371	1055
565	1373	1052
566	1374	1049
567	1376	1046
568	1378	1043
569	1380	1041
570	1381	1038
571	1383	1035
572	1384	1032
573	1386	1029
574	1388	1026
575	1390	1023
576	1392	1020
577	1394	1018
578	1396	1015
579	1398	1012
580	1400	1010
581	1402	1007
582	1404	1004
583	1406	1002
584	1408	999
585	1410	996
586	1412	993
587	1414	991
588	1416	988
589	1418	985
590	1420	982
591	1421	979
592	1423	976
593	1425	974
594	1427	971
595	1429	968
596	1431	966
597	1434	964
598	1436	961
599	1438	959
600	1440	956
601	1442	953
602	1444	950
603	1445	948
604	1448	945
605	1450	943
606	1452	940
607	1454	937
608	1456	935
609	1459	932
610	1462	930
611	1464	928
612	1466	926
613	1468	923
614	1469	920
615	1471	917
616	1473	914
617	1474	911
618	1476	908
619	1478	906
620	1480	903
621	1481	900
622	1483	897
623	1484	894
624	1486	891
625	1488	889
626	1490	886
627	1491	883
628	1493	880
629	1495	878
630	1496	875
631	1497	872
632	1499	869
633	1500	866
634	1502	863
635	1504	860
636	1505	857
637	1507	855
638	1508	852
639	1510	849
640	1511	846
641	1513	843
642	1514	840
643	1516	838
644	1517	835
645	1519	832
646	1521	829
647	1522	827
648	1524	824
649	1525	821
650	1527	818
651	1528	816
652	1530	813
653	1531	810
654	1533	807
655	1534	804
656	1536	802
657	1538	799
658	1539	796
659	1541	794
660	1543	791
661	1545	788
662	1546	786
663	1548	783
664	1549	780
665	1551	778
666	1553	775
667	1554	772
668	1556	770
669	1559	767
670	1561	765
671	1562	762
672	1564	760
673	1566	757
674	1567	754
675	1569	752
676	1571	749
677	1573	747
678	1574	744
679	1577	742
680	1580	740
681	1582	737
682	1583	735
683	1585	732
684	1586	729
685	1588	727
686	1590	724
687	1592	721
688	1594	719
689	1596	717
690	1597	714
691	1599	711
692	1600	709
693	1602	706
694	1603	703
695	1605	701
696	1606	698
697	1608	695
698	1609	693
699	1611	690
700	1613	688
701	1615	685
702	1617	683
703	1618	680
704	1620	678
705	1621	675
706	1623	672
707	1625	670
708	1626	667
709	1628	665
710	1630	662
711	1631	660
712	1633	657
713	1634	654
714	1636	652
715	1638	649
716	1640	647
717	1641	644
718	1643	642
719	1645	639
720	1646	637
721	1648	634
722	1649	632
723	1651	629
724	1652	626
725	1654	624
726	1656	621
727	1657	619
728	1659	616
729	1660	614
730	1662	611
731	1663	609
732	1664	606
733	1666	603
734	1667	601
735	1669	598
736	1671	596
737	1672	593
738	1674	591
739	1675	588
740	1677	586
741	1678	583
742	1680	581
743	1681	578
744	1683	576
745	1684	573
746	1686	571
747	1687	568
748	1689	566
749	1691	563
750	1692	561
751	1694	558
752	1695	556
753	1697	553
754	1698	551
755	1700	548
756	1701	546
757	1703	543
758	1704	541
759	1706	538
760	1708	536
761	1709	533
762	1710	531
763	1712	529
764	1714	526
765	1715	524
766	1717	521
767	1719	519
768	1721	517
769	1723	514
770	1724	512
771	1725	509
772	1727	507
773	1729	504
774	1730	502
775	1732	500
776	1733	497
777	1735	495
778	1736	492
779	1738	490
780	1739	487
781	1740	485
782	1743	483
783	1744	480
784	1745	478
785	1747	475
786	1748	473
787	1750	470
788	1752	468
789	1753	466
790	1755	463
791	1756	461
792	1758	458
793	1759	456
794	1761	454
795	1762	451
796	1764	449
797	1765	446
798	1767	444
799	1768	442
800	1770	439
801	1771	437
802	1773	435
803	1774	432
804	1776	430
805	1777	427
806	1779	425
807	1781	423
808	1782	420
809	1784	418
810	1785	416
811	1787	413
812	1789	411
813	1790	409
814	1791	406
815	1793	404
816	1794	402
817	1796	399
818	1797	397
819	1799	394
820	1800	392
821	1802	390
822	1804	388
823	1806	385
824	1807	383
825	1809	381
826	1811	378
827	1812	376
828	1814	374
829	1816	371
830	1817	369
831	1819	367
832	1820	365
833	1822	362
834	1824	360
835	1826	358
836	1827	355
837	1829	353
838	1831	351
839	1832	349
840	1834	346
841	1835	344
842	1837	342
843	1838	339
844	1840	337
845	1842	335
846	1843	333
847	1845	330
848	1847	328
849	1849	326
850	1851	324
851	1852	321
852	1854	319
853	1855	317
854	1856	314
855	1858	312
856	1859	310
857	1861	308
858	1863	305
859	1864	303
860	1866	301
861	1867	299
862	1869	296
863	1870	294
864	1872	292
865	1874	290
866	1876	287
867	1878	285
868	1879	283
869	1881	281
870	1882	278
871	1884	276
872	1885	274
873	1887	272
874	1888	269
875	1890	267
876	1891	265
877	1893	263
878	1894	260
879	1896	258
880	1897	256
881	1899	254
882	1900	251
883	1902	249
884	1903	247
885	1905	245
886	1907	242
887	1909	240
888	1910	238
889	1912	236
890	1913	234
891	1915	231
892	1916	229
893	1918	227
894	1920	225
895	1921	223
896	1923	220
897	1924	218
898	1926	216
899	1927	214
900	1928	211
901	1930	209
902	1932	207
903	1933	205
904	1935	203
905	1936	200
906	1938	198
907	1939	196
908	1941	194
909	1943	192
910	1944	189
911	1946	187
912	1947	185
913	1949	183
914	1951	181
915	1952	179
916	1954	176
917	1955	174
918	1957	172
919	1958	170
920	1960	168
921	1961	165
922	1963	163
923	1964	161
924	1966	159
925	1967	157
926	1969	155
927	1970	152
928	1971	150
929	1973	148
930	1975	146
931	1976	144
932	1978	142
933	1980	139
934	1982	137
935	1983	135
936	1985	133
937	1986	131
938	1988	129
939	1990	127
940	1991	124
941	1993	122
942	1995	120
943	1996	118
944	1998	116
945	1999	114
946	2001	112
947	2003	109
948	2004	107
949	2006	105
950	2008	103
951	2010	101
952	2011	99
953	2013	97
954	2014	94
955	2016	92
956	2018	90
957	2020	88
958	2021	86
959	2023	84
960	2025	82
961	2026	80
962	2028	77
963	2030	75
964	2032	73
965	2034	71
966	2036	69
967	2038	67
968	2039	65
969	2041	63
970	2043	61
971	2045	58
972	2046	56
973	2048	54
974	2049	52
975	2051	50
976	2053	48
977	2054	46
978	2056	44
979	2058	42
980	2060	39
981	2061	37
982	2063	35
983	2064	33
984	2066	31
985	2068	29
986	2070	27
987	2071	25
988	2073	23
989	2075	20
990	2076	18
991	2078	16
992	2079	14
993	2081	12
994	2083	10
995	2085	8
996	2087	6
997	2088	4
998	2090	2
999	2092	0
